version,experiment_id,git_commit,configuration,environment,algorithm,seed,environment_steps,wall_clock_seconds,checkpoint,status,deterministic_return,stochastic_return,tracking_error_xy,yaw_error,survival_rate,forward_gain,lag_steps,entropy,action_std,kl,alpha_temp,alpha_kl,q_bias,target_clip_fraction,notes
pre-v00,go2_ppo_4096,919308d+dirty,mjlab registered PPO cfg (see config/mjlab_go2_ppo.yaml),Unitree-Go2-Flat,PPO,1,196608000,,logs/juwels_pull/2026-07-31_12-58-54_go2_ppo_4096/model_1999.pt,trained,,,,,,,,,,,,,,,PPO at convergence; JUWELS run; 4096x24x2000; NOT budget-matched to REPPO
pre-v00,go2_reppo_4096,919308d+dirty,config/mjlab_go2_reppo_v24.yaml,Unitree-Go2-Flat,REPPO,1,,,logs/juwels_pull/2026-07-31_12-58-20_go2_reppo_4096/model_380.pt,trained,,,,,,,,,,,,,,,JUWELS REPPO run at 4096 envs; budget not yet confirmed
pre-v00,trudi_reference_go2,n/a (external),TruDi authors' hydra cfg,Unitree-Go2-Flat,REPPO-reference,unknown,39321600,,/home/human/workspaces/trudi_ref/trudi_go2_ckpt/reppo_zip_go2_torch_Unitree-Go2-Flat_step_301.pt,trained,,,,,,,,,,,,,,,Authors' own checkpoint; evaluated via trudi_ref/eval_our_tracking.py
pre-v00,go2_v28_refparity_s1,919308d+dirty,config/mjlab_go2_reppo_v28_refparity.yaml,Unitree-Go2-Flat,REPPO,1,39321600,3120,logs/safe_rl/go2_velocity/2026-08-03_09-11-35_go2_v28_refparity_s1/model_299.pt,trained,,,,,,,,,,,,,,,All four reference-parity levers; basis for config/mjlab_go2_reppo_v00_baseline.yaml
pre-v00,go2_v29_dualclip_s1,919308d+dirty,config/mjlab_go2_reppo_v29_dualclip.yaml,Unitree-Go2-Flat,REPPO,1,39321600,2940,logs/safe_rl/go2_velocity/2026-08-03_10-10-40_go2_v29_dualclip_s1/model_299.pt,trained,,,,,,,,,,,,,,,Lever isolated: dual_optim_mode=actor
pre-v00,go2_v30_atoms151_s1,919308d+dirty,config/mjlab_go2_reppo_v30_atoms151.yaml,Unitree-Go2-Flat,REPPO,1,39321600,2820,logs/safe_rl/go2_velocity/2026-08-03_11-02-06_go2_v30_atoms151_s1/model_299.pt,trained,,,,,,,,,,,,,,,Lever isolated: num_atoms=151
v00,reppo_v00_s1__deterministic__E1,aef23c9,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,1,39321600,3499,logs/safe_rl/go2_v00/2026-08-03_12-31-06_reppo_v00_s1/model_299.pt,evaluated,45.9187,,0.5152,0.1587,0.9067,,,-5.9851,0.5001,0.0998,0.0027,0.0438,0.0484,0.0014,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.60"
v00,reppo_v00_s1__stochastic__E1,aef23c9,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,1,39321600,3499,logs/safe_rl/go2_v00/2026-08-03_12-31-06_reppo_v00_s1/model_299.pt,evaluated,,42.8192,0.5327,0.1875,0.9467,,,-5.9851,0.5001,0.0998,0.0027,0.0438,0.0484,0.0014,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,reppo_v00_s2__deterministic__E1,aef23c9,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,2,39321600,3259,logs/safe_rl/go2_v00/2026-08-03_13-29-24_reppo_v00_s2/model_299.pt,evaluated,44.0007,,0.5403,0.1776,0.8133,,,-5.9820,0.4934,0.0998,0.0029,0.0459,0.0501,0.0012,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.40"
v00,reppo_v00_s2__stochastic__E1,aef23c9,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,2,39321600,3259,logs/safe_rl/go2_v00/2026-08-03_13-29-24_reppo_v00_s2/model_299.pt,evaluated,,40.5609,0.5763,0.2096,0.8333,,,-5.9820,0.4934,0.0998,0.0029,0.0459,0.0501,0.0012,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,reppo_v00_s4__deterministic__E1,aef23c9,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,4,39321600,3498,logs/safe_rl/go2_v00/2026-08-03_13-40-13_reppo_v00_s4/model_299.pt,evaluated,46.9011,,0.5431,0.1663,0.9600,,,-6.0146,0.5082,0.0997,0.0025,0.0420,0.0450,0.0010,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=1.00"
v00,reppo_v00_s4__stochastic__E1,aef23c9,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,4,39321600,3498,logs/safe_rl/go2_v00/2026-08-03_13-40-13_reppo_v00_s4/model_299.pt,evaluated,,43.8212,0.4925,0.1852,0.9333,,,-6.0146,0.5082,0.0997,0.0025,0.0420,0.0450,0.0010,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,reppo_v00_s3__deterministic__E1,aef23c9,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,3,39321600,3441,logs/safe_rl/go2_v00/2026-08-03_14-23-43_reppo_v00_s3/model_299.pt,evaluated,46.7871,,0.5157,0.1825,0.9600,,,-5.9979,0.5223,0.0996,0.0029,0.0448,0.0697,0.0012,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.60"
v00,reppo_v00_s3__stochastic__E1,aef23c9,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,3,39321600,3441,logs/safe_rl/go2_v00/2026-08-03_14-23-43_reppo_v00_s3/model_299.pt,evaluated,,41.4249,0.5885,0.2103,0.9600,,,-5.9979,0.5223,0.0996,0.0029,0.0448,0.0697,0.0012,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,reppo_v00_s5__deterministic__E1,aef23c9,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,5,39321600,4100,logs/safe_rl/go2_v00/2026-08-03_14-38-31_reppo_v00_s5/model_299.pt,evaluated,46.4148,,0.4828,0.1584,0.8800,,,-5.9855,0.5525,0.0999,0.0029,0.0459,0.0800,0.0014,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.80"
v00,reppo_v00_s5__stochastic__E1,aef23c9,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,5,39321600,4100,logs/safe_rl/go2_v00/2026-08-03_14-38-31_reppo_v00_s5/model_299.pt,evaluated,,42.7065,0.5049,0.1899,0.8667,,,-5.9855,0.5525,0.0999,0.0029,0.0459,0.0800,0.0014,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
