step,cmd_vx,cmd_vy,cmd_wz,vx,vy,wz,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
1.000000,1.000000,0.000000,0.000000,0.015189,-0.000121,-0.013080,-0.295056,0.209067,1.393121,0.308391,0.030845,-0.064382,-0.176741,0.363481,0.342550,0.553357,-0.014214,1.346399
2.000000,1.000000,0.000000,0.000000,0.010017,-0.004885,0.171370,-0.658692,-0.359460,1.237088,-0.369646,0.188435,0.774837,0.607091,-0.217710,0.848615,0.665800,0.121745,1.088066
3.000000,1.000000,0.000000,0.000000,0.036853,-0.010408,0.276042,-0.805132,0.047576,1.480131,-0.514326,0.351911,0.849353,0.648857,-0.111998,0.730504,0.618315,0.932455,1.880392
4.000000,1.000000,0.000000,0.000000,0.081416,-0.010850,0.458767,-1.193590,0.483448,1.590096,-0.293234,0.155494,0.274481,0.523597,-0.205846,0.327593,1.103035,1.851770,2.388868
5.000000,1.000000,0.000000,0.000000,0.134933,-0.005965,0.540254,-1.297393,0.876481,1.677226,-0.004770,-0.200118,-0.443347,0.252178,-0.324622,-0.165451,1.218839,2.448322,2.743007
6.000000,1.000000,0.000000,0.000000,0.204239,0.005134,0.512127,-0.954698,1.494278,1.727599,0.097978,-0.392001,-0.739705,0.247402,-0.349718,-0.506737,0.769366,2.683105,2.926975
7.000000,1.000000,0.000000,0.000000,0.278405,0.014142,0.529262,-1.183352,1.420988,1.722467,0.044464,-0.544149,-1.039986,0.364527,-0.352853,-0.689795,0.691395,2.424923,2.787491
8.000000,1.000000,0.000000,0.000000,0.363162,0.021531,0.620251,-1.196022,1.340441,1.659934,0.011230,-0.742687,-0.842224,0.223955,-0.512433,-0.728925,0.989655,2.586584,2.928766
9.000000,1.000000,0.000000,0.000000,0.450132,0.020774,0.664922,-0.669561,1.344277,1.806115,-0.065323,-0.923481,-0.492708,0.117987,-0.511222,-0.527409,1.131956,2.318111,2.835426
10.000000,1.000000,0.000000,0.000000,0.522178,0.013783,0.734577,-0.956298,1.090540,1.755102,-0.097711,-1.018281,-0.346045,0.025746,-0.645396,-0.368963,1.063237,1.916142,2.495902
11.000000,1.000000,0.000000,0.000000,0.588903,0.005066,0.723937,-0.672423,1.008047,1.957561,0.009137,-1.316371,-0.107314,0.149438,-0.769800,-0.595955,0.820141,1.409109,2.615387
12.000000,1.000000,0.000000,0.000000,0.643864,-0.012677,0.785812,-0.722755,0.721619,1.930140,-0.030018,-1.272839,0.515630,0.014112,-0.965708,-0.202240,1.105742,1.048534,2.431291
13.000000,1.000000,0.000000,0.000000,0.702639,-0.028256,0.710802,-0.254260,0.991005,1.828725,-0.064246,-1.073209,1.150652,-0.096308,-0.850595,0.211441,0.645532,0.711637,2.413534
14.000000,1.000000,0.000000,0.000000,0.715197,-0.025877,0.604336,-0.193077,0.853952,1.752762,-0.154583,-0.882828,1.577983,-0.113951,-0.723948,0.783320,0.440924,0.542184,2.150780
15.000000,1.000000,0.000000,0.000000,0.695846,-0.001040,0.493301,-0.119392,0.868515,1.296845,-0.223892,-0.258436,1.743683,-0.237226,-0.388061,1.322497,0.098909,0.259630,1.746979
16.000000,1.000000,0.000000,0.000000,0.652219,0.007251,0.526124,0.018008,0.961048,0.367735,-0.181311,0.259576,1.843785,-0.257819,-0.000607,1.618644,0.079955,0.091460,1.000082
17.000000,1.000000,0.000000,0.000000,0.602291,0.017765,0.496266,0.202487,0.775741,-0.756303,0.209443,0.326559,2.004254,-0.261031,0.485631,1.717618,-0.037522,0.000024,-0.485907
18.000000,1.000000,0.000000,0.000000,0.586443,0.019080,0.622370,0.048789,0.342557,-1.400801,0.125826,0.688313,2.156232,-0.057105,0.437663,1.996267,-0.093176,0.091619,-1.130380
19.000000,1.000000,0.000000,0.000000,0.590012,0.012568,0.653192,0.174163,0.006119,-1.545104,0.367458,0.361000,1.759361,-0.445685,0.412396,1.918741,-0.146041,0.132044,-1.447683
20.000000,1.000000,0.000000,0.000000,0.598466,0.004142,0.678360,0.307400,-0.293730,-1.588730,0.471529,0.126585,1.620837,-0.443510,0.150939,1.756673,-0.196462,0.047485,-1.547926
21.000000,1.000000,0.000000,0.000000,0.618481,0.000939,0.704313,0.310405,-0.532815,-1.607698,0.373984,0.227957,1.938783,-0.739971,0.289645,1.851170,-0.202307,-0.061737,-1.468267
22.000000,1.000000,0.000000,0.000000,0.644739,0.000823,0.658907,0.338340,-0.883049,-1.326077,0.562207,0.187815,2.134550,-0.995165,0.593530,1.984265,-0.256176,-0.332105,-1.390488
