step,cmd_vx,cmd_vy,cmd_wz,vx,vy,wz,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
1.000000,1.000000,0.000000,0.000000,0.009256,0.005396,-0.036745,-0.186839,0.117486,0.964997,0.231084,-0.187409,0.041353,-0.056928,0.928923,-0.664534,0.417977,-0.105121,0.927593
2.000000,1.000000,0.000000,0.000000,0.002021,-0.007830,0.317704,-0.932553,-0.837099,0.886272,-0.978882,0.403605,-0.755806,0.777864,-0.316777,-0.548014,0.973208,0.992332,0.977479
3.000000,1.000000,0.000000,0.000000,0.007654,-0.010034,0.393936,-0.925297,0.771608,0.989933,-0.514117,-0.739920,-0.966874,0.863796,-0.782717,-0.663889,0.992775,0.998082,0.994874
4.000000,1.000000,0.000000,0.000000,0.028256,-0.010579,0.379663,-0.978117,0.958452,0.941408,-0.683801,-0.968489,-0.986772,0.702209,-0.969147,-0.954354,0.998212,0.999196,0.994726
5.000000,1.000000,0.000000,0.000000,0.059711,-0.014188,0.314981,-0.990511,0.923460,0.943767,-0.414529,-0.989208,-0.984450,0.474356,-0.986606,-0.980799,0.998810,0.998960,0.993514
6.000000,1.000000,0.000000,0.000000,0.098827,-0.019243,0.227400,-0.975507,0.980821,0.938569,-0.165315,-0.979434,-0.991577,0.189734,-0.990522,-0.991599,0.998600,0.998796,0.993438
7.000000,1.000000,0.000000,0.000000,0.137012,-0.026052,0.222348,-0.986675,0.976181,0.968460,-0.411567,-0.982952,-0.991727,0.791347,-0.993059,-0.991086,0.998223,0.997350,0.994510
8.000000,1.000000,0.000000,0.000000,0.179799,-0.034740,0.156796,-0.979389,0.961533,0.907896,-0.609452,-0.952817,-0.943882,-0.088013,-0.996914,-0.991467,0.999411,0.998220,0.992633
9.000000,1.000000,0.000000,0.000000,0.221201,-0.042822,0.134036,-0.927785,0.991747,0.778691,-0.347279,-0.777441,-0.317706,0.131867,-0.995477,-0.974602,0.997744,0.997894,0.992489
10.000000,1.000000,0.000000,0.000000,0.247272,-0.032312,0.199104,-0.929989,0.995788,0.707629,-0.747871,-0.348008,0.476829,-0.046118,-0.991191,-0.965522,0.998511,0.998116,0.994721
11.000000,1.000000,0.000000,0.000000,0.261673,0.012583,0.321195,-0.018641,0.996724,0.329761,-0.738226,0.657168,0.942857,-0.778262,-0.980807,-0.922941,0.991511,0.995363,0.994580
12.000000,1.000000,0.000000,0.000000,0.283834,0.069033,0.561155,0.043080,0.995940,-0.670171,-0.874626,0.943590,0.931624,-0.791756,-0.779354,-0.504853,0.963921,0.996863,0.996704
13.000000,1.000000,0.000000,0.000000,0.313476,0.084777,0.442863,0.834161,0.993260,0.082933,0.043571,0.989926,0.816376,-0.730282,-0.132711,0.919117,0.232964,0.994627,0.975760
14.000000,1.000000,0.000000,0.000000,0.322352,0.072452,0.329059,0.799385,0.990144,-0.560391,0.020464,0.997688,0.953932,0.755512,0.879085,0.998442,-0.678391,0.992489,-0.344421
15.000000,1.000000,0.000000,0.000000,0.326998,0.066343,0.303246,0.968445,0.992834,-0.975611,-0.551509,0.997660,0.980904,0.768531,0.936510,0.993618,-0.844774,0.967761,-0.978594
16.000000,1.000000,0.000000,0.000000,0.339287,0.056069,0.454772,0.982758,0.995120,-0.986189,-0.784558,0.997265,0.985811,0.633932,0.918198,0.984865,-0.735889,0.815373,-0.939444
17.000000,1.000000,0.000000,0.000000,0.360141,0.056092,0.519028,0.988954,0.959369,-0.987467,-0.103526,0.994650,0.989639,-0.372345,0.964303,0.985481,-0.809765,-0.106626,-0.976723
18.000000,1.000000,0.000000,0.000000,0.383686,0.054538,0.500033,0.970530,0.761580,-0.992017,0.729929,0.998220,0.990326,-0.706693,0.988616,0.981287,-0.444745,-0.789713,-0.964134
19.000000,1.000000,0.000000,0.000000,0.404799,0.048239,0.462243,0.950480,-0.019867,-0.992269,0.937015,0.997519,0.990808,-0.830092,0.991479,0.981537,-0.684967,-0.910763,-0.956391
20.000000,1.000000,0.000000,0.000000,0.430671,0.036699,0.516359,0.915981,-0.359021,-0.993991,0.853274,0.996654,0.991743,-0.487638,0.989024,0.985109,-0.624417,-0.954332,-0.963126
21.000000,1.000000,0.000000,0.000000,0.458645,0.026377,0.552519,0.698185,-0.763532,-0.988644,0.876407,0.995120,0.994537,-0.593006,0.989509,0.984243,-0.809395,-0.979640,-0.960975
22.000000,1.000000,0.000000,0.000000,0.492368,0.021756,0.532468,0.555417,-0.730889,-0.955567,0.927843,0.980522,0.994556,-0.798459,0.988898,0.981419,-0.901452,-0.987898,-0.929454
23.000000,1.000000,0.000000,0.000000,0.530939,0.018783,0.547844,0.654460,-0.512911,-0.984867,0.757213,0.967318,0.997454,-0.495575,0.988433,0.981547,-0.800654,-0.994978,-0.924595
24.000000,1.000000,0.000000,0.000000,0.566425,0.019764,0.534391,0.196764,-0.568556,-0.728383,0.698797,0.889377,0.997695,-0.666078,0.986463,0.973451,-0.850108,-0.996019,-0.752909
25.000000,1.000000,0.000000,0.000000,0.601799,0.019465,0.670770,-0.086717,-0.272886,-0.408018,0.159954,0.761341,0.998750,0.164031,0.966439,0.970062,-0.759292,-0.997106,-0.545102
26.000000,1.000000,0.000000,0.000000,0.619691,-0.015077,0.720592,0.279620,0.382795,0.251760,0.268200,0.833705,0.998769,0.233724,0.976002,0.987835,-0.624516,-0.994216,-0.350491
27.000000,1.000000,0.000000,0.000000,0.623250,-0.062021,0.744429,-0.576387,0.837811,0.830799,0.781386,0.312862,0.998613,0.572316,0.983243,0.960067,-0.571047,-0.996184,0.620314
28.000000,1.000000,0.000000,0.000000,0.622963,-0.121443,0.861679,-0.776317,0.971711,0.971301,0.749348,0.471390,0.907082,0.923587,0.963523,0.832755,0.129172,-0.953642,0.919980
29.000000,1.000000,0.000000,0.000000,0.616135,-0.174849,0.820801,-0.635342,0.977253,0.985526,0.951919,0.751979,-0.491453,0.921328,0.966605,0.719152,0.278079,0.670706,0.994874
